sampleID	add1	transcript	add2	TPM	add3
S05	5	chr11_uc001pkb.1	5	6646.42	1
S05	5	chr11_uc001pkc.1	6	80095.47	1
S05	5	chr11_uc001pkf.3	7	8172.97	1
S05	5	chr11_uc001pkd.4	8	92.35	1
S05	5	chr13_uc001uub.1	9	161642.22	3
S05	5	chr16_uc002dlx.1	10	238210.03	5
S05	5	chr17_uc002ict.3	11	220203.27	2
S05	5	chr17_uc010cyz.2	12	561.19	2
S05	5	chr17_uc010who.3	13	12601.36	2
S06	6	chr2_uc002rvz.4	1	161654.05	4
S06	6	chr2_uc002rvy.2	2	24213.21	4
S06	6	chr2_uc010fbh.1	3	6568.72	4
S06	6	chr11_uc009yxr.1	4	132557.83	1
S06	6	chr11_uc001pkb.1	5	7114.98	1
S06	6	chr11_uc001pkc.1	6	93764.62	1
S06	6	chr11_uc001pkf.3	7	8554.92	1
S06	6	chr11_uc001pkd.4	8	511.46	1
S06	6	chr13_uc001uub.1	9	190998.75	3
S06	6	chr16_uc002dlx.1	10	281682.81	5
S06	6	chr17_uc002ict.3	11	77352.36	2
S06	6	chr17_uc010cyz.2	12	954.71	2
S06	6	chr17_uc010who.3	13	14071.57	2
S07	7	chr2_uc002rvz.4	1	154554.38	4
S07	7	chr2_uc002rvy.2	2	28353.84	4
S07	7	chr2_uc010fbh.1	3	6195.46	4
S07	7	chr11_uc009yxr.1	4	125346.42	1
S07	7	chr11_uc001pkb.1	5	6860.75	1
S07	7	chr11_uc001pkc.1	6	97308.02	1
S07	7	chr11_uc001pkf.3	7	9260.74	1
S07	7	chr11_uc001pkd.4	8	530.75	1
S07	7	chr13_uc001uub.1	9	200509.06	3
S07	7	chr16_uc002dlx.1	10	258300.02	5
S07	7	chr17_uc002ict.3	11	100702.44	2
S07	7	chr17_uc010cyz.2	12	572.2	2
S07	7	chr17_uc010who.3	13	11505.95	2
S08	8	chr2_uc002rvz.4	1	147522.39	4
S08	8	chr2_uc002rvy.2	2	22635.75	4
S08	8	chr2_uc010fbh.1	3	5831.74	4
S08	8	chr11_uc009yxr.1	4	166975.23	1
S08	8	chr11_uc001pkb.1	5	6277.96	1
S08	8	chr11_uc001pkc.1	6	88111.27	1
S08	8	chr11_uc001pkf.3	7	8522.13	1
S08	8	chr11_uc001pkd.4	8	367.86	1
S08	8	chr13_uc001uub.1	9	183092.77	3
S08	8	chr16_uc002dlx.1	10	258670.05	5
S08	8	chr17_uc002ict.3	11	99421.37	2
S08	8	chr17_uc010cyz.2	12	462.27	2
S08	8	chr17_uc010who.3	13	12109.21	2
S09	9	chr2_uc002rvz.4	1	158352.41	4
S09	9	chr2_uc002rvy.2	2	23779.29	4
S09	9	chr2_uc010fbh.1	3	6554.31	4
S09	9	chr11_uc009yxr.1	4	132064.67	1
S09	9	chr11_uc001pkb.1	5	7211.43	1
S09	9	chr11_uc001pkc.1	6	97861.12	1
S09	9	chr11_uc001pkf.3	7	9018.74	1
S09	9	chr11_uc001pkd.4	8	255.04	1
S09	9	chr13_uc001uub.1	9	190931.78	3
S09	9	chr16_uc002dlx.1	10	259278.33	5
S09	9	chr17_uc002ict.3	11	101141.49	2
S09	9	chr17_uc010cyz.2	12	599.47	2
S09	9	chr17_uc010who.3	13	12951.92	2
S10	10	chr2_uc002rvz.4	1	155592.64	4
S10	10	chr2_uc002rvy.2	2	27706.42	4
S10	10	chr2_uc010fbh.1	3	6426.69	4
S10	10	chr11_uc009yxr.1	4	128286.23	1
S10	10	chr11_uc001pkb.1	5	7344.7	1
S10	10	chr11_uc001pkc.1	6	94497.71	1
S10	10	chr11_uc001pkf.3	7	13690.09	1
S10	10	chr11_uc001pkd.4	8	412.07	1
S10	10	chr13_uc001uub.1	9	212252.77	3
S10	10	chr16_uc002dlx.1	10	242443.84	5
S10	10	chr17_uc002ict.3	11	98481.79	2
S10	10	chr17_uc010cyz.2	12	629.33	2
S10	10	chr17_uc010who.3	13	12235.73	2
S11	11	chr2_uc002rvz.4	1	152721	4
S11	11	chr2_uc002rvy.2	2	25498.35	4
S11	11	chr2_uc010fbh.1	3	8015.43	4
S11	11	chr11_uc009yxr.1	4	132513.69	1
S11	11	chr11_uc001pkb.1	5	7103	1
S11	11	chr11_uc001pkc.1	6	105531.38	1
S11	11	chr11_uc001pkf.3	7	8501.3	1
S11	11	chr11_uc001pkd.4	8	385.4	1
S11	11	chr13_uc001uub.1	9	195084.5	3
S11	11	chr16_uc002dlx.1	10	256691.16	5
S11	11	chr17_uc002ict.3	11	95844.86	2
S11	11	chr17_uc010cyz.2	12	522.35	2
S11	11	chr17_uc010who.3	13	11587.6	2
S12	12	chr2_uc002rvz.4	1	132768.83	4
S12	12	chr2_uc002rvy.2	2	26294.77	4
S12	12	chr2_uc010fbh.1	3	7088.86	4
S12	12	chr11_uc009yxr.1	4	119320.48	1
S12	12	chr11_uc001pkb.1	5	3763.15	1
S12	12	chr11_uc001pkc.1	6	83975.69	1
S12	12	chr11_uc001pkf.3	7	7037.77	1
S12	12	chr13_uc001uub.1	9	172189.83	3
S12	12	chr16_uc002dlx.1	10	220116.8	5
S12	12	chr17_uc002ict.3	11	215349.16	2
S12	12	chr17_uc010whp.2	14	76.58	2
S12	12	chr17_uc010cyz.2	12	419.74	2
S12	12	chr17_uc010who.3	13	11598.37	2
S13	13	chr2_uc002rvz.4	1	156298.09	4
S13	13	chr2_uc002rvy.2	2	23994.37	4
S13	13	chr2_uc010fbh.1	3	6611.83	4
S13	13	chr11_uc009yxr.1	4	130764.45	1
S13	13	chr11_uc001pkb.1	5	6946.1	1
S13	13	chr11_uc001pkc.1	6	94932.17	1
S13	13	chr11_uc001pkf.3	7	8062.35	1
S13	13	chr11_uc001pkd.4	8	289.11	1
S13	13	chr13_uc001uub.1	9	188712.23	3
S13	13	chr16_uc002dlx.1	10	266603.03	5
S13	13	chr17_uc002ict.3	11	103802.48	2
S13	13	chr17_uc010cyz.2	12	667.84	2
S13	13	chr17_uc010who.3	13	12315.97	2
S14	14	chr2_uc002rvz.4	1	158588.8	4
S14	14	chr2_uc002rvy.2	2	26853.1	4
S14	14	chr2_uc010fbh.1	3	8548.58	4
S14	14	chr11_uc009yxr.1	4	121035.59	1
S14	14	chr11_uc001pkb.1	5	6495.85	1
S14	14	chr11_uc001pkc.1	6	94380.79	1
S14	14	chr11_uc001pkf.3	7	9515.87	1
S14	14	chr11_uc001pkd.4	8	301.78	1
S14	14	chr13_uc001uub.1	9	195079.72	3
S14	14	chr16_uc002dlx.1	10	263021.56	5
S14	14	chr17_uc002ict.3	11	102865.09	2
S14	14	chr17_uc010cyz.2	12	628.01	2
S14	14	chr17_uc010who.3	13	12685.28	2
S15	15	chr2_uc002rvz.4	1	157116.39	4
S15	15	chr2_uc002rvy.2	2	24247.11	4
S15	15	chr2_uc010fbh.1	3	7064.81	4
S15	15	chr11_uc009yxr.1	4	122173.93	1
S15	15	chr11_uc001pkb.1	5	6262.24	1
S15	15	chr11_uc001pkc.1	6	96098.5	1
S15	15	chr11_uc001pkf.3	7	9952.01	1
S15	15	chr11_uc001pkd.4	8	347.24	1
S15	15	chr13_uc001uub.1	9	186699.2	3
S15	15	chr16_uc002dlx.1	10	268749.34	5
S15	15	chr17_uc002ict.3	11	105588.42	2
S15	15	chr17_uc010cyz.2	12	835.31	2
S15	15	chr17_uc010who.3	13	14865.48	2
S16	16	chr2_uc002rvz.4	1	153428.16	4
S16	16	chr2_uc002rvy.2	2	25439.43	4
S16	16	chr2_uc010fbh.1	3	4584.48	4
S16	16	chr11_uc009yxr.1	4	123203.14	1
S16	16	chr11_uc001pkb.1	5	6632.04	1
S16	16	chr11_uc001pkc.1	6	94075.2	1
S16	16	chr11_uc001pkf.3	7	9401.16	1
S16	16	chr11_uc001pkd.4	8	233	1
S16	16	chr13_uc001uub.1	9	190926.17	3
S16	16	chr16_uc002dlx.1	10	272343.31	5
S16	16	chr17_uc002ict.3	11	106782.73	2
S16	16	chr17_uc010cyz.2	12	673.81	2
S16	16	chr17_uc010who.3	13	12277.35	2
S17	17	chr2_uc002rvz.4	1	159736.06	4
S17	17	chr2_uc002rvy.2	2	24138.26	4
S17	17	chr2_uc010fbh.1	3	6728.79	4
S17	17	chr11_uc009yxr.1	4	136474.56	1
S17	17	chr11_uc001pkb.1	5	7266.28	1
S17	17	chr11_uc001pkc.1	6	91271.74	1
S17	17	chr11_uc001pkf.3	7	10643.01	1
S17	17	chr11_uc001pkd.4	8	136.97	1
S17	17	chr13_uc001uub.1	9	194003.31	3
S17	17	chr16_uc002dlx.1	10	258096.94	5
S17	17	chr17_uc002ict.3	11	97526.01	2
S17	17	chr17_uc010whp.2	14	44.67	2
S17	17	chr17_uc010cyz.2	12	888.8	2
S17	17	chr17_uc010who.3	13	13044.59	2
S18	18	chr2_uc002rvz.4	1	131595.52	4
S18	18	chr2_uc002rvy.2	2	22387.69	4
S18	18	chr2_uc010fbh.1	3	4566.91	4
S18	18	chr11_uc009yxr.1	4	114028.27	1
S18	18	chr11_uc001pkb.1	5	3085.46	1
S18	18	chr11_uc001pkc.1	6	84725.65	1
S18	18	chr11_uc001pkf.3	7	7960.56	1
S18	18	chr13_uc001uub.1	9	159912.97	3
S18	18	chr16_uc002dlx.1	10	223571.78	5
S18	18	chr17_uc002ict.3	11	235786.81	2
S18	18	chr17_uc010cyz.2	12	464.98	2
S18	18	chr17_uc010who.3	13	11913.38	2
S19	19	chr2_uc002rvz.4	1	152102.69	4
S19	19	chr2_uc002rvy.2	2	26698.98	4
S19	19	chr2_uc010fbh.1	3	7355.76	4
S19	19	chr11_uc009yxr.1	4	134830.03	1
S19	19	chr11_uc001pkb.1	5	7709.5	1
S19	19	chr11_uc001pkc.1	6	93403.78	1
S19	19	chr11_uc001pkf.3	7	9306.77	1
S19	19	chr11_uc001pkd.4	8	452.27	1
S19	19	chr13_uc001uub.1	9	195638.97	3
S19	19	chr16_uc002dlx.1	10	260680.72	5
S19	19	chr17_uc002ict.3	11	98744.63	2
S19	19	chr17_uc010cyz.2	12	554.04	2
S19	19	chr17_uc010who.3	13	12521.84	2
S20	20	chr2_uc002rvz.4	1	153332.02	4
S20	20	chr2_uc002rvy.2	2	25222.65	4
S20	20	chr2_uc010fbh.1	3	6117.3	4
S20	20	chr11_uc009yxr.1	4	138930.84	1
S20	20	chr11_uc001pkb.1	5	7245.7	1
S20	20	chr11_uc001pkc.1	6	91535.12	1
S20	20	chr11_uc001pkf.3	7	7987	1
S20	20	chr11_uc001pkd.4	8	77.95	1
S20	20	chr13_uc001uub.1	9	199175.78	3
S20	20	chr16_uc002dlx.1	10	256553.25	5
S20	20	chr17_uc002ict.3	11	101091.61	2
S20	20	chr17_uc010cyz.2	12	574.38	2
S20	20	chr17_uc010who.3	13	12156.41	2
S21	21	chr2_uc002rvz.4	1	154131.84	4
S21	21	chr2_uc002rvy.2	2	26940.38	4
S21	21	chr2_uc010fbh.1	3	5366.7	4
S21	21	chr11_uc009yxr.1	4	136199.64	1
S21	21	chr11_uc001pkb.1	5	6963.27	1
S21	21	chr11_uc001pkc.1	6	94963.36	1
S21	21	chr11_uc001pkf.3	7	8923.35	1
S21	21	chr11_uc001pkd.4	8	152.88	1
S21	21	chr13_uc001uub.1	9	194887.39	3
S21	21	chr16_uc002dlx.1	10	260591.48	5
S21	21	chr17_uc002ict.3	11	98492.03	2
S21	21	chr17_uc010cyz.2	12	661.1	2
S21	21	chr17_uc010who.3	13	11726.58	2
S22	22	chr2_uc002rvz.4	1	160534.31	4
S22	22	chr2_uc002rvy.2	2	26822.62	4
S22	22	chr2_uc010fbh.1	3	4242.79	4
S22	22	chr11_uc009yxr.1	4	122919.82	1
S22	22	chr11_uc001pkb.1	5	6425.92	1
S22	22	chr11_uc001pkc.1	6	98344.44	1
S22	22	chr11_uc001pkf.3	7	10035.68	1
S22	22	chr11_uc001pkd.4	8	155.02	1
S22	22	chr13_uc001uub.1	9	189274.59	3
S22	22	chr16_uc002dlx.1	10	265431.91	5
S22	22	chr17_uc002ict.3	11	101585.3	2
S22	22	chr17_uc010cyz.2	12	534.08	2
S22	22	chr17_uc010who.3	13	13693.5	2
S23	23	chr2_uc002rvz.4	1	162244.06	4
S23	23	chr2_uc002rvy.2	2	25391.6	4
S23	23	chr2_uc010fbh.1	3	7336.98	4
S23	23	chr11_uc009yxr.1	4	122889.28	1
S23	23	chr11_uc001pkb.1	5	6080.62	1
S23	23	chr11_uc001pkc.1	6	97267.54	1
S23	23	chr11_uc001pkf.3	7	11012.56	1
S23	23	chr11_uc001pkd.4	8	87.23	1
S23	23	chr13_uc001uub.1	9	192205.73	3
S23	23	chr16_uc002dlx.1	10	261152.53	5
S23	23	chr17_uc002ict.3	11	102294.6	2
S23	23	chr17_uc010cyz.2	12	534.27	2
S23	23	chr17_uc010who.3	13	11502.98	2
S24	24	chr2_uc002rvz.4	1	164377.88	4
S24	24	chr2_uc002rvy.2	2	25239.72	4
S24	24	chr2_uc010fbh.1	3	8328.73	4
S24	24	chr11_uc009yxr.1	4	113856.79	1
S24	24	chr11_uc001pkb.1	5	6898.2	1
S24	24	chr11_uc001pkc.1	6	104446.9	1
S24	24	chr11_uc001pkf.3	7	12884.4	1
S24	24	chr11_uc001pkd.4	8	155.89	1
S24	24	chr13_uc001uub.1	9	155811.77	3
S24	24	chr16_uc002dlx.1	10	285290.47	5
S24	24	chr17_uc002ict.3	11	106768.37	2
S24	24	chr17_uc010cyz.2	12	609.49	2
S24	24	chr17_uc010who.3	13	15331.4	2
S25	25	chr2_uc002rvz.4	1	170394.31	4
S25	25	chr2_uc002rvy.2	2	23855.49	4
S25	25	chr2_uc010fbh.1	3	6965.43	4
S25	25	chr11_uc009yxr.1	4	132393.36	1
S25	25	chr11_uc001pkb.1	5	6813.17	1
S25	25	chr11_uc001pkc.1	6	90096.48	1
S25	25	chr11_uc001pkf.3	7	8619.46	1
S25	25	chr11_uc001pkd.4	8	117.57	1
S25	25	chr13_uc001uub.1	9	185434.52	3
S25	25	chr16_uc002dlx.1	10	278506.78	5
S25	25	chr17_uc002ict.3	11	80254.53	2
S25	25	chr17_uc010cyz.2	12	699.59	2
S25	25	chr17_uc010who.3	13	15849.31	2
S26	26	chr2_uc002rvz.4	1	128241.52	4
S26	26	chr2_uc002rvy.2	2	19766.2	4
S26	26	chr2_uc010fbh.1	3	5147.7	4
S26	26	chr11_uc009yxr.1	4	117133.75	1
S26	26	chr11_uc001pkb.1	5	7062.88	1
S26	26	chr11_uc001pkc.1	6	84511.81	1
S26	26	chr11_uc001pkf.3	7	6512.79	1
S26	26	chr11_uc001pkd.4	8	18084.89	1
S26	26	chr13_uc001uub.1	9	169788.64	3
S26	26	chr16_uc002dlx.1	10	225063.94	5
S26	26	chr17_uc002ict.3	11	206509.14	2
S26	26	chr17_uc010cyz.2	12	475.47	2
S26	26	chr17_uc010who.3	13	11701.29	2
S27	27	chr2_uc002rvz.4	1	155054.14	4
S27	27	chr2_uc002rvy.2	2	23781.37	4
S27	27	chr2_uc010fbh.1	3	3797.49	4
S27	27	chr11_uc009yxr.1	4	133624.5	1
S27	27	chr11_uc001pkb.1	5	7809.73	1
S27	27	chr11_uc001pkc.1	6	96706.34	1
S27	27	chr11_uc001pkf.3	7	11343.64	1
S27	27	chr11_uc001pkd.4	8	438.99	1
S27	27	chr13_uc001uub.1	9	195285.98	3
S27	27	chr16_uc002dlx.1	10	255910.05	5
S27	27	chr17_uc002ict.3	11	102205.98	2
S27	27	chr17_uc010cyz.2	12	988.2	2
S27	27	chr17_uc010who.3	13	13053.59	2
S28	28	chr2_uc002rvz.4	1	156135.48	4
S28	28	chr2_uc002rvy.2	2	26185.16	4
S28	28	chr2_uc010fbh.1	3	6888.82	4
S28	28	chr11_uc009yxr.1	4	132982.12	1
S28	28	chr11_uc001pkb.1	5	7326.11	1
S28	28	chr11_uc001pkc.1	6	88852.7	1
S28	28	chr11_uc001pkf.3	7	7642.45	1
S28	28	chr11_uc001pkd.4	8	226.62	1
S28	28	chr13_uc001uub.1	9	190146.45	3
S28	28	chr16_uc002dlx.1	10	263056.94	5
S28	28	chr17_uc002ict.3	11	106013.66	2
S28	28	chr17_uc010cyz.2	12	643.9	2
S28	28	chr17_uc010who.3	13	13899.57	2
S29	29	chr2_uc002rvz.4	1	125244.55	4
S29	29	chr2_uc002rvy.2	2	49421.76	4
S29	29	chr11_uc009yxr.1	4	173354.2	1
S29	29	chr11_uc001pkg.1	15	12369.03	1
S29	29	chr11_uc001pkc.1	6	73192.38	1
S29	29	chr13_uc001uub.1	9	115930.08	3
S29	29	chr16_uc002dlx.1	10	211255.33	5
S29	29	chr17_uc002ict.3	11	215117.5	2
S29	29	chr17_uc010who.3	13	24115.12	2
S30	30	chr2_uc002rvz.4	1	159385.94	4
S30	30	chr2_uc002rvy.2	2	24091.79	4
S30	30	chr2_uc010fbh.1	3	6632.11	4
S30	30	chr11_uc009yxr.1	4	131098.73	1
S30	30	chr11_uc001pkb.1	5	7147.03	1
S30	30	chr11_uc001pkc.1	6	93503.11	1
S30	30	chr11_uc001pkf.3	7	8785.29	1
S30	30	chr11_uc001pkd.4	8	215.95	1
S30	30	chr13_uc001uub.1	9	186507.22	3
S30	30	chr16_uc002dlx.1	10	263617.88	5
S30	30	chr17_uc002ict.3	11	107227.01	2
S30	30	chr17_uc010cyz.2	12	592.71	2
S30	30	chr17_uc010who.3	13	11195.21	2
S31	31	chr2_uc002rvz.4	1	159720.7	4
S31	31	chr2_uc002rvy.2	2	24935.11	4
S31	31	chr2_uc010fbh.1	3	5996.68	4
S31	31	chr11_uc009yxr.1	4	133610.23	1
S31	31	chr11_uc001pkb.1	5	7299.39	1
S31	31	chr11_uc001pkc.1	6	96515.88	1
S31	31	chr11_uc001pkf.3	7	7974.23	1
S31	31	chr11_uc001pkd.4	8	210.13	1
S31	31	chr13_uc001uub.1	9	189199.53	3
S31	31	chr16_uc002dlx.1	10	257639.89	5
S31	31	chr17_uc002ict.3	11	102611.95	2
S31	31	chr17_uc010cyz.2	12	559.87	2
S31	31	chr17_uc010who.3	13	13726.39	2
S32	32	chr2_uc002rvz.4	1	160421.03	4
S32	32	chr2_uc002rvy.2	2	25563.24	4
S32	32	chr2_uc010fbh.1	3	6712.08	4
S32	32	chr11_uc009yxr.1	4	132867.22	1
S32	32	chr11_uc001pkb.1	5	7359.43	1
S32	32	chr11_uc001pkc.1	6	86679.75	1
S32	32	chr11_uc001pkf.3	7	7183.29	1
S32	32	chr11_uc001pkd.4	8	295.59	1
S32	32	chr13_uc001uub.1	9	186305.61	3
S32	32	chr16_uc002dlx.1	10	268283.47	5
S32	32	chr17_uc002ict.3	11	103431.95	2
S32	32	chr17_uc010cyz.2	12	774.77	2
S32	32	chr17_uc010who.3	13	14122.59	2
S33	33	chr2_uc002rvz.4	1	134717.84	4
S33	33	chr2_uc002rvy.2	2	22789.04	4
S33	33	chr2_uc010fbh.1	3	10152.17	4
S33	33	chr11_uc009yxr.1	4	113191.73	1
S33	33	chr11_uc001pkb.1	5	5920.29	1
S33	33	chr11_uc001pkc.1	6	86084.69	1
S33	33	chr11_uc001pkf.3	7	6134.33	1
S33	33	chr11_uc001pkd.4	8	13873.5	1
S33	33	chr13_uc001uub.1	9	161324.39	3
S33	33	chr16_uc002dlx.1	10	225084.66	5
S33	33	chr17_uc002ict.3	11	207540.98	2
S33	33	chr17_uc010cyz.2	12	754.89	2
S33	33	chr17_uc010who.3	13	12431.47	2
S34	34	chr2_uc002rvz.4	1	129027.16	4
S34	34	chr2_uc002rvy.2	2	23927.29	4
S34	34	chr2_uc010fbh.1	3	6338.88	4
S34	34	chr11_uc009yxr.1	4	103934.16	1
S34	34	chr11_uc001pkb.1	5	3250.81	1
S34	34	chr11_uc001pkc.1	6	88673.38	1
S34	34	chr11_uc001pkf.3	7	11127.13	1
S34	34	chr13_uc001uub.1	9	174836.38	3
S34	34	chr16_uc002dlx.1	10	214190.5	5
S34	34	chr17_uc002ict.3	11	234257.58	2
S34	34	chr17_uc010cyz.2	12	371.84	2
S34	34	chr17_uc010who.3	13	10064.87	2
S35	35	chr2_uc002rvz.4	1	161386.22	4
S35	35	chr2_uc002rvy.2	2	24152.89	4
S35	35	chr2_uc010fbh.1	3	6975.2	4
S35	35	chr11_uc009yxr.1	4	124911.62	1
S35	35	chr11_uc001pkb.1	5	6351.73	1
S35	35	chr11_uc001pkc.1	6	95746.65	1
S35	35	chr11_uc001pkf.3	7	8803.21	1
S35	35	chr11_uc001pkd.4	8	320.21	1
S35	35	chr13_uc001uub.1	9	198491.44	3
S35	35	chr16_uc002dlx.1	10	258965.69	5
S35	35	chr17_uc002ict.3	11	101391.98	2
S35	35	chr17_uc010whp.2	14	30.5	2
S35	35	chr17_uc010cyz.2	12	502.36	2
S35	35	chr17_uc010who.3	13	11970.31	2
S36	36	chr2_uc002rvz.4	1	157295.62	4
S36	36	chr2_uc002rvy.2	2	26393.27	4
S36	36	chr2_uc010fbh.1	3	5796.07	4
S36	36	chr11_uc009yxr.1	4	127102.8	1
S36	36	chr11_uc001pkb.1	5	6564.56	1
S36	36	chr11_uc001pkc.1	6	91042.91	1
S36	36	chr11_uc001pkf.3	7	12890.54	1
S36	36	chr11_uc001pkd.4	8	265.25	1
S36	36	chr13_uc001uub.1	9	201693.52	3
S36	36	chr16_uc002dlx.1	10	255511.98	5
S36	36	chr17_uc002ict.3	11	101642.12	2
S36	36	chr17_uc010cyz.2	12	535.26	2
S36	36	chr17_uc010who.3	13	13266.11	2
S37	37	chr2_uc002rvz.4	1	138232.2	4
S37	37	chr2_uc002rvy.2	2	20612.07	4
S37	37	chr2_uc010fbh.1	3	6729.66	4
S37	37	chr11_uc009yxr.1	4	115707.03	1
S37	37	chr11_uc001pkb.1	5	7170.41	1
S37	37	chr11_uc001pkc.1	6	78104.4	1
S37	37	chr11_uc001pkf.3	7	7939.34	1
S37	37	chr11_uc001pkd.4	8	16836.98	1
S37	37	chr13_uc001uub.1	9	161396.08	3
S37	37	chr16_uc002dlx.1	10	225998.11	5
S37	37	chr17_uc002ict.3	11	210341.55	2
S37	37	chr17_uc010cyz.2	12	988.51	2
S37	37	chr17_uc010who.3	13	9943.65	2
S38	38	chr2_uc002rvz.4	1	154895.23	4
S38	38	chr2_uc002rvy.2	2	26281.98	4
S38	38	chr2_uc010fbh.1	3	6818.21	4
S38	38	chr11_uc009yxr.1	4	135637.73	1
S38	38	chr11_uc001pkb.1	5	7798.61	1
S38	38	chr11_uc001pkc.1	6	90292.18	1
S38	38	chr11_uc001pkf.3	7	9904.17	1
S38	38	chr11_uc001pkd.4	8	272.31	1
S38	38	chr13_uc001uub.1	9	190834.25	3
S38	38	chr16_uc002dlx.1	10	261095.64	5
S38	38	chr17_uc002ict.3	11	103110.54	2
S38	38	chr17_uc010cyz.2	12	479.69	2
S38	38	chr17_uc010who.3	13	12579.44	2
S39	39	chr2_uc002rvz.4	1	162015.95	4
S39	39	chr2_uc002rvy.2	2	26396.67	4
S39	39	chr2_uc010fbh.1	3	5948.79	4
S39	39	chr11_uc009yxr.1	4	133699.16	1
S39	39	chr11_uc001pkb.1	5	7142.6	1
S39	39	chr11_uc001pkc.1	6	92827.65	1
S39	39	chr11_uc001pkf.3	7	10058.85	1
S39	39	chr11_uc001pkd.4	8	45.8	1
S39	39	chr13_uc001uub.1	9	190003.36	3
S39	39	chr16_uc002dlx.1	10	258058.06	5
S39	39	chr17_uc002ict.3	11	100051.61	2
S39	39	chr17_uc010cyz.2	12	610.7	2
S39	39	chr17_uc010who.3	13	13140.78	2
S40	40	chr2_uc002rvz.4	1	160719.77	4
S40	40	chr2_uc002rvy.2	2	24503.36	4
S40	40	chr2_uc010fbh.1	3	6959.45	4
S40	40	chr11_uc009yxr.1	4	133543.83	1
S40	40	chr11_uc001pkb.1	5	8415.52	1
S40	40	chr11_uc001pkc.1	6	103653.96	1
S40	40	chr11_uc001pkf.3	7	10086.71	1
S40	40	chr11_uc001pkd.4	8	19116.99	1
S40	40	chr13_uc001uub.1	9	177290.88	3
S40	40	chr16_uc002dlx.1	10	267089.75	5
S40	40	chr17_uc002ict.3	11	73554.9	2
S40	40	chr17_uc010cyz.2	12	938.41	2
S40	40	chr17_uc010who.3	13	14126.48	2
S41	41	chr2_uc002rvz.4	1	157879.64	4
S41	41	chr2_uc002rvy.2	2	23628.83	4
S41	41	chr2_uc010fbh.1	3	7453.76	4
S41	41	chr11_uc009yxr.1	4	134335.33	1
S41	41	chr11_uc001pkb.1	5	7456.61	1
S41	41	chr11_uc001pkc.1	6	91650.38	1
S41	41	chr11_uc001pkf.3	7	8782.43	1
S41	41	chr11_uc001pkd.4	8	217.51	1
S41	41	chr13_uc001uub.1	9	187937.55	3
S41	41	chr16_uc002dlx.1	10	261469.73	5
